Link Name,Mass,Moment Ixx,Moment Iyy,Moment Izz,Visual Z,meshes Filename,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Parent,Joint Axis Y
base_link,9.0,0.388,0.674,0.1,0,package:/my_robot_description/meshes/base_link.STL,,fixed,0,0,0.02,base_footprint,0
front_right_wheel_link,1.25,0.00328,0.00506,0.00328,0,package:/my_robot_description/meshes/front_right_wheel_link.STL,front_right_wheel_joint,continuous,0.18772,-0.218,0.0005,base_link,1
front_left_wheel_link,1.25,0.00328,0.00506,0.00328,0,package:/my_robot_description/meshes/front_left_wheel_link.STL,front_left_wheel_joint,continuous,0.18772,0.225,0.0005,base_link,1
back_left_wheel_link,1.25,0.00328,0.00506,0.00328,0,package:/my_robot_description/meshes/back_left_wheel_link.STL,back_left_wheel_joint,continuous,-0.19428,0.225,0.0005,base_link,1
back_right_wheel_link,1.25,0.00328,0.00506,0.00328,0,package:/my_robot_description/meshes/back_right_wheel_link.STL,back_right_wheel_joint,continuous,-0.19428,-0.218,0.0005,base_link,1
lidar_link,0.5,0.000111,0.000111,0.00012,0,package:/my_robot_description/meshes/lidar_link.STL,lidar_joint,fixed,0.03872,0.00389,0.36,base_link,0
camera_link,0.3,0.000111,0.000111,0.00012,0,package:/my_robot_description/meshes/camera_link.STL,camera_joint,fixed,0.25622,0.01,0.20,base_link,0
gps_link,0.2,1.45E-06,1.45E-06,2.7E-06,0,package:/my_robot_description/meshes/gps_link.STL,gps_joint,fixed,0.039,0.039,0.29,base_link,0
Tof_F_Link,0.1,1.28E-07,1.06E-07,1.28E-07,0,package:/my_robot_description/meshes/Tof_F_Link.STL,Tof_F_joint,fixed,0.25622,0.0018543,0.10,base_link,0
Tof_FL_link,0.1,1.28E-07,1.06E-07,1.28E-07,0,package:/my_robot_description/meshes/Tof_FL_link.STL,Tof_FL_joint,fixed,0.22272,0.18435,0.16,base_link,0
Tof_FR_link,0.1,1.28E-07,1.06E-07,1.28E-07,0,package:/my_robot_description/meshes/Tof_FR_link.STL,Tof_FR_joint,fixed,0.21875,-0.17665,0.16,base_link,0
Tof_BL_link,0.1,1.28E-07,1.06E-07,1.28E-07,0,package:/my_robot_description/meshes/Tof_BL_link.STL,Tof_BL_joint,fixed,-0.19428,0.21469,0.10,base_link,0
Tof_BR_link,0.1,1.28E-07,1.06E-07,1.28E-07,0,package:/my_robot_description/meshes/Tof_BR_link.STL,Tof_BR_joint,fixed,-0.29478,-0.12406,0.10,base_link,0
